protein1 protein2 combined_score
243273.MG_006 243273.MG_122 404
243273.MG_006 243273.MG_297 186
243273.MG_006 243273.MG_268 580
243273.MG_006 243273.MG_380 158
243273.MG_006 243273.MG_069 542
243273.MG_006 243273.MG_054 186
243273.MG_006 243273.MG_107 873
243273.MG_006 243273.MG_262 188
243273.MG_006 243273.MG_010 712
243273.MG_006 243273.MG_046 181
243273.MG_006 243273.MG_250 275
243273.MG_006 243273.MG_044 192
243273.MG_006 243273.MG_005 911
243273.MG_006 243273.MG_254 153
243273.MG_006 243273.MG_183 375
243273.MG_006 243273.MG_029 183
243273.MG_006 243273.MG_003 755
243273.MG_006 243273.MG_231 959
243273.MG_006 243273.MG_070 166
243273.MG_006 243273.MG_171 575
243273.MG_006 243273.MG_057 186
243273.MG_006 243273.MG_195 368
243273.MG_006 243273.MG_173 282
243273.MG_006 243273.MG_287 248
243273.MG_006 243273.MG_021 232
243273.MG_006 243273.MG_180 281
243273.MG_006 243273.MG_224 218
243273.MG_006 243273.MG_179 281
243273.MG_006 243273.MG_463 201
243273.MG_006 243273.MG_359 186
243273.MG_006 243273.MG_114 250
243273.MG_006 243273.MG_002 527
243273.MG_006 243273.MG_378 186
243273.MG_006 243273.MG_052 456
243273.MG_006 243273.MG_111 190
243273.MG_006 243273.MG_004 782
243273.MG_006 243273.MG_030 394
243273.MG_006 243273.MG_208 186
243273.MG_006 243273.MG_245 186
243273.MG_006 243273.MG_253 186
243273.MG_006 243273.MG_517 218
243273.MG_006 243273.MG_025 218
243273.MG_006 243273.MG_361 155
243273.MG_006 243273.MG_227 947
243273.MG_006 243273.MG_106 154
243273.MG_006 243273.MG_035 233
243273.MG_006 243273.MG_419 430
243273.MG_006 243273.MG_203 158
243273.MG_006 243273.MG_382 198
243273.MG_006 243273.MG_355 158
243273.MG_006 243273.MG_409 261
243273.MG_006 243273.MG_100 186
243273.MG_006 243273.MG_330 408
243273.MG_006 243273.MG_363 186
243273.MG_006 243273.MG_034 942
243273.MG_006 243273.MG_037 190
243273.MG_006 243273.MG_104 167
243273.MG_006 243273.MG_229 953
243273.MG_006 243273.MG_367 230
243273.MG_006 243273.MG_295 170
243273.MG_006 243273.MG_072 158
243273.MG_006 243273.MG_394 471
243273.MG_006 243273.MG_013 156
243273.MG_006 243273.MG_055 186
243273.MG_006 243273.MG_058 170
243273.MG_006 243273.MG_460 218
243273.MG_006 243273.MG_235 180
243273.MG_006 243273.MG_144 186
243273.MG_006 243273.MG_210 191
243273.MG_006 243273.MG_001 631
243273.MG_007 243273.MG_021 238
243273.MG_007 243273.MG_287 426
243273.MG_007 243273.MG_027 239
243273.MG_007 243273.MG_464 160
243273.MG_007 243273.MG_155 219
243273.MG_007 243273.MG_006 932
243273.MG_007 243273.MG_082 153
243273.MG_007 243273.MG_070 180
243273.MG_007 243273.MG_261 999
243273.MG_007 243273.MG_195 339
243273.MG_007 243273.MG_057 172
243273.MG_007 243273.MG_154 339
243273.MG_007 243273.MG_245 227
243273.MG_007 243273.MG_004 782
243273.MG_007 243273.MG_208 209
243273.MG_007 243273.MG_040 168
243273.MG_007 243273.MG_002 565
243273.MG_007 243273.MG_089 233
243273.MG_007 243273.MG_392 315
243273.MG_007 243273.MG_114 223
243273.MG_007 243273.MG_360 846
243273.MG_007 243273.MG_086 218
243273.MG_007 243273.MG_127 207
243273.MG_007 243273.MG_346 224
243273.MG_007 243273.MG_176 198
243273.MG_007 243273.MG_363 186
243273.MG_007 243273.MG_064 240
243273.MG_007 243273.MG_035 201
243273.MG_007 243273.MG_332 172
243273.MG_007 243273.MG_419 999
243273.MG_007 243273.MG_227 195
243273.MG_007 243273.MG_203 363
243273.MG_007 243273.MG_018 445
243273.MG_007 243273.MG_058 224
243273.MG_007 243273.MG_098 153
243273.MG_007 243273.MG_001 999
243273.MG_007 243273.MG_144 186
243273.MG_007 243273.MG_438 177
243273.MG_007 243273.MG_034 151
243273.MG_007 243273.MG_315 999
243273.MG_007 243273.MG_298 267
243273.MG_007 243273.MG_469 168
243273.MG_007 243273.MG_148 159
243273.MG_007 243273.MG_015 183
243273.MG_007 243273.MG_301 156
243273.MG_007 243273.MG_177 319
243273.MG_007 243273.MG_300 165
243273.MG_007 243273.MG_339 717
243273.MG_007 243273.MG_435 295
243273.MG_007 243273.MG_450 152
243273.MG_007 243273.MG_247 209
243273.MG_007 243273.MG_236 218
243273.MG_007 243273.MG_014 183
243273.MG_007 243273.MG_056 225
243273.MG_007 243273.MG_269 267
243273.MG_007 243273.MG_165 191
243273.MG_007 243273.MG_437 151
243273.MG_007 243273.MG_158 300
243273.MG_007 243273.MG_368 186
243273.MG_007 243273.MG_316 350
243273.MG_007 243273.MG_162 227
243273.MG_007 243273.MG_150 173
243273.MG_007 243273.MG_081 258
243273.MG_007 243273.MG_009 861
243273.MG_007 243273.MG_008 823
243273.MG_007 243273.MG_168 212
243273.MG_007 243273.MG_375 155
243273.MG_007 243273.MG_132 186
243273.MG_007 243273.MG_031 918
243273.MG_007 243273.MG_297 186
243273.MG_007 243273.MG_122 757
243273.MG_007 243273.MG_380 186
243273.MG_007 243273.MG_054 160
243273.MG_007 243273.MG_134 186
243273.MG_007 243273.MG_358 349
243273.MG_007 243273.MG_091 369
243273.MG_007 243273.MG_194 253
243273.MG_007 243273.MG_003 825
243273.MG_007 243273.MG_218 267
243273.MG_007 243273.MG_175 150
243273.MG_007 243273.MG_231 299
243273.MG_007 243273.MG_153 190
243273.MG_007 243273.MG_005 798
243273.MG_007 243273.MG_157 450
243273.MG_007 243273.MG_010 686
243273.MG_007 243273.MG_262 899
243273.MG_007 243273.MG_151 157
243273.MG_007 243273.MG_046 156
243273.MG_007 243273.MG_311 161
243273.MG_007 243273.MG_152 224
243273.MG_007 243273.MG_185 244
243273.MG_008 243273.MG_019 913
243273.MG_008 243273.MG_244 203
243273.MG_008 243273.MG_126 342
243273.MG_008 243273.MG_347 727
243273.MG_008 243273.MG_059 204
243273.MG_008 243273.MG_206 352
243273.MG_008 243273.MG_056 289
243273.MG_008 243273.MG_451 174
243273.MG_008 243273.MG_138 365
243273.MG_008 243273.MG_249 347
243273.MG_008 243273.MG_259 760
243273.MG_008 243273.MG_200 773
243273.MG_008 243273.MG_007 823
243273.MG_008 243273.MG_425 581
243273.MG_008 243273.MG_282 158
243273.MG_008 243273.MG_431 228
243273.MG_008 243273.MG_182 409
243273.MG_008 243273.MG_335 935
243273.MG_008 243273.MG_434 229
243273.MG_008 243273.MG_132 257
243273.MG_008 243273.MG_505 171
243273.MG_008 243273.MG_418 888
243273.MG_008 243273.MG_375 757
243273.MG_008 243273.MG_299 197
243273.MG_008 243273.MG_084 515
243273.MG_008 243273.MG_024 408
243273.MG_008 243273.MG_405 186
243273.MG_008 243273.MG_209 834
243273.MG_008 243273.MG_009 850
243273.MG_008 243273.MG_166 656
243273.MG_008 243273.MG_466 450
243273.MG_008 243273.MG_252 932
243273.MG_008 243273.MG_081 983
243273.MG_008 243273.MG_162 886
243273.MG_008 243273.MG_442 935
243273.MG_008 243273.MG_150 214
243273.MG_008 243273.MG_433 471
243273.MG_008 243273.MG_169 978
243273.MG_008 243273.MG_380 733
243273.MG_008 243273.MG_122 644
243273.MG_008 243273.MG_297 154
243273.MG_008 243273.MG_205 186
243273.MG_008 243273.MG_254 197
243273.MG_008 243273.MG_372 383
243273.MG_008 243273.MG_345 195
243273.MG_008 243273.MG_010 683
243273.MG_008 243273.MG_151 873
243273.MG_008 243273.MG_046 177
243273.MG_008 243273.MG_128 190
243273.MG_008 243273.MG_311 202
243273.MG_008 243273.MG_005 835
243273.MG_008 243273.MG_387 732
243273.MG_008 243273.MG_184 315
243273.MG_008 243273.MG_231 311
243273.MG_008 243273.MG_049 186
243273.MG_008 243273.MG_003 766
243273.MG_008 243273.MG_047 564
243273.MG_008 243273.MG_470 208
243273.MG_008 243273.MG_402 179
243273.MG_008 243273.MG_403 171
243273.MG_008 243273.MG_195 477
243273.MG_008 243273.MG_370 834
243273.MG_008 243273.MG_082 839
243273.MG_008 243273.MG_464 492
243273.MG_008 243273.MG_401 471
243273.MG_008 243273.MG_232 941
243273.MG_008 243273.MG_006 849
243273.MG_008 243273.MG_329 358
243273.MG_008 243273.MG_224 240
243273.MG_008 243273.MG_161 886
243273.MG_008 243273.MG_366 154
243273.MG_008 243273.MG_287 930
243273.MG_008 243273.MG_163 659
243273.MG_008 243273.MG_378 435
243273.MG_008 243273.MG_379 996
243273.MG_008 243273.MG_038 180
243273.MG_008 243273.MG_341 437
243273.MG_008 243273.MG_463 550
243273.MG_008 243273.MG_359 223
243273.MG_008 243273.MG_002 891
243273.MG_008 243273.MG_041 466
243273.MG_008 243273.MG_257 171
243273.MG_008 243273.MG_215 183
243273.MG_008 243273.MG_404 186
243273.MG_008 243273.MG_278 199
243273.MG_008 243273.MG_398 158
243273.MG_008 243273.MG_004 783
243273.MG_008 243273.MG_018 160
243273.MG_008 243273.MG_419 273
243273.MG_008 243273.MG_355 388
243273.MG_008 243273.MG_399 186
243273.MG_008 243273.MG_064 163
243273.MG_008 243273.MG_308 581
243273.MG_008 243273.MG_178 930
243273.MG_008 243273.MG_127 350
243273.MG_008 243273.MG_445 421
243273.MG_008 243273.MG_465 639
243273.MG_008 243273.MG_384 425
243273.MG_008 243273.MG_340 208
243273.MG_008 243273.MG_295 947
243273.MG_008 243273.MG_367 175
243273.MG_008 243273.MG_394 376
243273.MG_008 243273.MG_033 153
243273.MG_008 243273.MG_469 253
243273.MG_008 243273.MG_438 298
243273.MG_008 243273.MG_400 186
243273.MG_008 243273.MG_001 654
243273.MG_008 243273.MG_013 230
243273.MG_008 243273.MG_043 608
243273.MG_008 243273.MG_240 163
243273.MG_008 243273.MG_235 636
243273.MG_009 243273.MG_107 216
243273.MG_009 243273.MG_380 319
243273.MG_009 243273.MG_099 152
243273.MG_009 243273.MG_228 175
243273.MG_009 243273.MG_432 172
243273.MG_009 243273.MG_312 586
243273.MG_009 243273.MG_091 333
243273.MG_009 243273.MG_303 156
243273.MG_009 243273.MG_110 186
243273.MG_009 243273.MG_358 183
243273.MG_009 243273.MG_065 225
243273.MG_009 243273.MG_317 556
243273.MG_009 243273.MG_003 740
243273.MG_009 243273.MG_218 516
243273.MG_009 243273.MG_476 174
243273.MG_009 243273.MG_005 821
243273.MG_009 243273.MG_010 678
243273.MG_009 243273.MG_128 186
243273.MG_009 243273.MG_259 407
243273.MG_009 243273.MG_007 861
243273.MG_009 243273.MG_112 186
243273.MG_009 243273.MG_053 195
243273.MG_009 243273.MG_126 235
243273.MG_009 243273.MG_368 214
243273.MG_009 243273.MG_316 161
243273.MG_009 243273.MG_056 239
243273.MG_009 243273.MG_206 203
243273.MG_009 243273.MG_482 205
243273.MG_009 243273.MG_096 209
243273.MG_009 243273.MG_277 187
243273.MG_009 243273.MG_351 186
243273.MG_009 243273.MG_008 850
243273.MG_009 243273.MG_466 186
243273.MG_009 243273.MG_442 313
243273.MG_009 243273.MG_132 186
243273.MG_009 243273.MG_461 190
243273.MG_009 243273.MG_258 233
243273.MG_009 243273.MG_335 211
243273.MG_009 243273.MG_395 513
243273.MG_009 243273.MG_024 250
243273.MG_009 243273.MG_405 274
243273.MG_009 243273.MG_036 215
243273.MG_009 243273.MG_330 238
243273.MG_009 243273.MG_090 186
243273.MG_009 243273.MG_363 208
243273.MG_009 243273.MG_064 234
243273.MG_009 243273.MG_399 211
243273.MG_009 243273.MG_062 357
243273.MG_009 243273.MG_419 336
243273.MG_009 243273.MG_455 216
243273.MG_009 243273.MG_526 225
243273.MG_009 243273.MG_001 539
243273.MG_009 243273.MG_144 186
243273.MG_009 243273.MG_058 322
243273.MG_009 243273.MG_462 150
243273.MG_009 243273.MG_240 222
243273.MG_009 243273.MG_266 186
243273.MG_009 243273.MG_465 186
243273.MG_009 243273.MG_103 165
243273.MG_009 243273.MG_295 223
243273.MG_009 243273.MG_340 175
243273.MG_009 243273.MG_279 606
243273.MG_009 243273.MG_145 265
243273.MG_009 243273.MG_037 186
243273.MG_009 243273.MG_329 319
243273.MG_009 243273.MG_522 186
243273.MG_009 243273.MG_397 513
243273.MG_009 243273.MG_092 173
243273.MG_009 243273.MG_467 225
243273.MG_009 243273.MG_287 186
243273.MG_009 243273.MG_021 838
243273.MG_009 243273.MG_251 186
243273.MG_009 243273.MG_195 317
243273.MG_009 243273.MG_171 232
243273.MG_009 243273.MG_292 209
243273.MG_009 243273.MG_057 298
243273.MG_009 243273.MG_443 172
243273.MG_009 243273.MG_464 292
243273.MG_009 243273.MG_006 846
243273.MG_009 243273.MG_370 214
243273.MG_009 243273.MG_278 208
243273.MG_009 243273.MG_004 783
243273.MG_009 243273.MG_341 186
243273.MG_009 243273.MG_305 174
243273.MG_009 243273.MG_378 242
243273.MG_009 243273.MG_002 548
243273.MG_009 243273.MG_215 237
243273.MG_009 243273.MG_257 153
243273.MG_009 243273.MG_356 406
243273.MG_009 243273.MG_463 604
243273.MG_010 243273.MG_116 224
243273.MG_010 243273.MG_220 750
243273.MG_010 243273.MG_481 167
243273.MG_010 243273.MG_184 206
243273.MG_010 243273.MG_142 150
243273.MG_010 243273.MG_003 718
243273.MG_010 243273.MG_234 198
243273.MG_010 243273.MG_005 687
243273.MG_010 243273.MG_262 172
243273.MG_010 243273.MG_250 907
243273.MG_010 243273.MG_459 214
243273.MG_010 243273.MG_428 689
243273.MG_010 243273.MG_054 246
243273.MG_010 243273.MG_159 214
243273.MG_010 243273.MG_031 160
243273.MG_010 243273.MG_048 157
243273.MG_010 243273.MG_122 689
243273.MG_010 243273.MG_091 268
243273.MG_010 243273.MG_213 370
243273.MG_010 243273.MG_433 213
243273.MG_010 243273.MG_365 245
243273.MG_010 243273.MG_358 238
243273.MG_010 243273.MG_009 678
243273.MG_010 243273.MG_008 683
243273.MG_010 243273.MG_143 197
243273.MG_010 243273.MG_201 269
243273.MG_010 243273.MG_258 178
243273.MG_010 243273.MG_418 155
243273.MG_010 243273.MG_094 893
243273.MG_010 243273.MG_525 750
243273.MG_010 243273.MG_339 196
243273.MG_010 243273.MG_259 288
243273.MG_010 243273.MG_249 382
243273.MG_010 243273.MG_007 686
243273.MG_010 243273.MG_244 165
243273.MG_010 243273.MG_283 214
243273.MG_010 243273.MG_389 191
243273.MG_010 243273.MG_001 487
243273.MG_010 243273.MG_462 203
243273.MG_010 243273.MG_318 150
243273.MG_010 243273.MG_384 153
243273.MG_010 243273.MG_340 172
243273.MG_010 243273.MG_295 164
243273.MG_010 243273.MG_072 187
243273.MG_010 243273.MG_145 158
243273.MG_010 243273.MG_323 270
243273.MG_010 243273.MG_203 234
243273.MG_010 243273.MG_390 700
243273.MG_010 243273.MG_414 745
243273.MG_010 243273.MG_004 692
243273.MG_010 243273.MG_086 209
243273.MG_010 243273.MG_002 480
243273.MG_010 243273.MG_359 299
243273.MG_010 243273.MG_329 469
243273.MG_010 243273.MG_173 232
243273.MG_010 243273.MG_261 177
243273.MG_010 243273.MG_195 633
243273.MG_010 243273.MG_393 187
243273.MG_010 243273.MG_006 712
243273.MG_010 243273.MG_271 203
243273.MG_011 243273.MG_260 167
243273.MG_011 243273.MG_302 314
243273.MG_011 243273.MG_213 180
243273.MG_011 243273.MG_091 230
243273.MG_011 243273.MG_386 352
243273.MG_011 243273.MG_012 945
243273.MG_011 243273.MG_218 673
243273.MG_011 243273.MG_345 194
243273.MG_011 243273.MG_185 190
243273.MG_011 243273.MG_468 586
243273.MG_011 243273.MG_028 189
243273.MG_011 243273.MG_019 286
243273.MG_011 243273.MG_316 479
243273.MG_011 243273.MG_244 212
243273.MG_011 243273.MG_437 207
243273.MG_011 243273.MG_020 273
243273.MG_011 243273.MG_014 370
243273.MG_011 243273.MG_427 349
243273.MG_011 243273.MG_024 267
243273.MG_011 243273.MG_022 248
243273.MG_011 243273.MG_064 159
243273.MG_011 243273.MG_291 164
243273.MG_011 243273.MG_127 221
243273.MG_011 243273.MG_018 305
243273.MG_011 243273.MG_061 360
243273.MG_011 243273.MG_390 423
243273.MG_011 243273.MG_123 379
243273.MG_011 243273.MG_438 445
243273.MG_011 243273.MG_013 776
243273.MG_011 243273.MG_328 262
243273.MG_011 243273.MG_098 238
243273.MG_011 243273.MG_023 248
243273.MG_011 243273.MG_148 305
243273.MG_011 243273.MG_015 317
243273.MG_011 243273.MG_026 189
243273.MG_011 243273.MG_027 189
243273.MG_011 243273.MG_366 163
243273.MG_011 243273.MG_021 274
243273.MG_011 243273.MG_411 303
243273.MG_011 243273.MG_040 182
243273.MG_011 243273.MG_025 195
243273.MG_011 243273.MG_248 166
243273.MG_011 243273.MG_336 287
243273.MG_012 243273.MG_020 273
243273.MG_012 243273.MG_014 370
243273.MG_012 243273.MG_019 286
243273.MG_012 243273.MG_028 189
243273.MG_012 243273.MG_024 267
243273.MG_012 243273.MG_022 248
243273.MG_012 243273.MG_011 945
243273.MG_012 243273.MG_018 305
243273.MG_012 243273.MG_026 189
243273.MG_012 243273.MG_148 166
243273.MG_012 243273.MG_015 317
243273.MG_012 243273.MG_023 248
243273.MG_012 243273.MG_013 776
243273.MG_012 243273.MG_021 274
243273.MG_012 243273.MG_027 189
243273.MG_012 243273.MG_336 309
243273.MG_012 243273.MG_025 195
243273.MG_012 243273.MG_411 303
243273.MG_013 243273.MG_276 295
243273.MG_013 243273.MG_259 171
243273.MG_013 243273.MG_324 724
243273.MG_013 243273.MG_028 189
243273.MG_013 243273.MG_431 176
243273.MG_013 243273.MG_112 421
243273.MG_013 243273.MG_130 233
243273.MG_013 243273.MG_391 444
243273.MG_013 243273.MG_126 230
243273.MG_013 243273.MG_019 305
243273.MG_013 243273.MG_316 175
243273.MG_013 243273.MG_071 384
243273.MG_013 243273.MG_138 283
243273.MG_013 243273.MG_014 383
243273.MG_013 243273.MG_020 423
243273.MG_013 243273.MG_437 261
243273.MG_013 243273.MG_283 229
243273.MG_013 243273.MG_252 247
243273.MG_013 243273.MG_277 230
243273.MG_013 243273.MG_351 186
243273.MG_013 243273.MG_204 234
243273.MG_013 243273.MG_008 230
243273.MG_013 243273.MG_442 194
243273.MG_013 243273.MG_143 172
243273.MG_013 243273.MG_335 152
243273.MG_013 243273.MG_182 155
243273.MG_013 243273.MG_022 248
243273.MG_013 243273.MG_024 451
243273.MG_013 243273.MG_036 222
243273.MG_013 243273.MG_299 320
243273.MG_013 243273.MG_375 171
243273.MG_013 243273.MG_107 217
243273.MG_013 243273.MG_357 337
243273.MG_013 243273.MG_105 159
243273.MG_013 243273.MG_054 159
243273.MG_013 243273.MG_380 181
243273.MG_013 243273.MG_099 456
243273.MG_013 243273.MG_048 390
243273.MG_013 243273.MG_122 357
243273.MG_013 243273.MG_091 218
243273.MG_013 243273.MG_322 465
243273.MG_013 243273.MG_213 452
243273.MG_013 243273.MG_407 214
243273.MG_013 243273.MG_365 983
243273.MG_013 243273.MG_358 238
243273.MG_013 243273.MG_115 240
243273.MG_013 243273.MG_231 436
243273.MG_013 243273.MG_387 176
243273.MG_013 243273.MG_194 268
243273.MG_013 243273.MG_047 412
243273.MG_013 243273.MG_050 311
243273.MG_013 243273.MG_012 776
243273.MG_013 243273.MG_183 309
243273.MG_013 243273.MG_234 189
243273.MG_013 243273.MG_254 186
243273.MG_013 243273.MG_005 489
243273.MG_013 243273.MG_102 628
243273.MG_013 243273.MG_128 216
243273.MG_013 243273.MG_046 655
243273.MG_013 243273.MG_262 203
243273.MG_013 243273.MG_329 154
243273.MG_013 243273.MG_027 563
243273.MG_013 243273.MG_073 186
243273.MG_013 243273.MG_238 200
243273.MG_013 243273.MG_021 358
243273.MG_013 243273.MG_195 468
243273.MG_013 243273.MG_251 171
243273.MG_013 243273.MG_246 760
243273.MG_013 243273.MG_402 423
243273.MG_013 243273.MG_171 456
243273.MG_013 243273.MG_006 156
243273.MG_013 243273.MG_232 254
243273.MG_013 243273.MG_070 157
243273.MG_013 243273.MG_082 184
243273.MG_013 243273.MG_271 591
243273.MG_013 243273.MG_239 266
243273.MG_013 243273.MG_025 208
243273.MG_013 243273.MG_197 171
243273.MG_013 243273.MG_253 258
243273.MG_013 243273.MG_264 186
243273.MG_013 243273.MG_066 433
243273.MG_013 243273.MG_245 964
243273.MG_013 243273.MG_334 456
243273.MG_013 243273.MG_208 368
243273.MG_013 243273.MG_004 597
243273.MG_013 243273.MG_038 291
243273.MG_013 243273.MG_379 193
243273.MG_013 243273.MG_214 169
243273.MG_013 243273.MG_086 249
243273.MG_013 243273.MG_111 442
243273.MG_013 243273.MG_215 223
243273.MG_013 243273.MG_257 270
243273.MG_013 243273.MG_392 182
243273.MG_013 243273.MG_114 400
243273.MG_013 243273.MG_089 388
243273.MG_013 243273.MG_359 204
243273.MG_013 243273.MG_216 253
243273.MG_013 243273.MG_330 157
243273.MG_013 243273.MG_399 151
243273.MG_013 243273.MG_100 442
243273.MG_013 243273.MG_198 173
243273.MG_013 243273.MG_346 238
243273.MG_013 243273.MG_011 776
243273.MG_013 243273.MG_369 186
243273.MG_013 243273.MG_323 467
243273.MG_013 243273.MG_018 320
243273.MG_013 243273.MG_233 176
243273.MG_013 243273.MG_332 223
243273.MG_013 243273.MG_419 248
243273.MG_013 243273.MG_106 465
243273.MG_013 243273.MG_455 407
243273.MG_013 243273.MG_227 939
243273.MG_013 243273.MG_001 186
243273.MG_013 243273.MG_400 219
243273.MG_013 243273.MG_146 171
243273.MG_013 243273.MG_113 240
243273.MG_013 243273.MG_058 605
243273.MG_013 243273.MG_462 180
243273.MG_013 243273.MG_460 492
243273.MG_013 243273.MG_240 202
243273.MG_013 243273.MG_098 253
243273.MG_013 243273.MG_222 409
243273.MG_013 243273.MG_272 155
243273.MG_013 243273.MG_394 972
243273.MG_013 243273.MG_295 161
243273.MG_013 243273.MG_196 169
243273.MG_013 243273.MG_015 331
243273.MG_013 243273.MG_229 213
243273.MG_013 243273.MG_023 280
243273.MG_013 243273.MG_301 367
243273.MG_013 243273.MG_026 358
243273.MG_013 243273.MG_396 329
243273.MG_013 243273.MG_136 283
243273.MG_014 243273.MG_118 166
243273.MG_014 243273.MG_024 476
243273.MG_014 243273.MG_022 455
243273.MG_014 243273.MG_375 236
243273.MG_014 243273.MG_447 227
243273.MG_014 243273.MG_442 369
243273.MG_014 243273.MG_162 174
243273.MG_014 243273.MG_081 177
243273.MG_014 243273.MG_351 173
243273.MG_014 243273.MG_071 302
243273.MG_014 243273.MG_020 540
243273.MG_014 243273.MG_206 198
243273.MG_014 243273.MG_165 192
243273.MG_014 243273.MG_269 211
243273.MG_014 243273.MG_019 605
243273.MG_014 243273.MG_410 890
